company_id,type,rule_triggered,text,confidence_pct,sentiment_score
ABB,Pro,PAT CAGR > 15%,Robust profitability growth demonstrating strong earnings momentum over 3 years.,90,0.8555
ADANIENSOL,Pro,Rev CAGR > 15%,Strong top-line growth with a 3-year Revenue CAGR of 25.21%.,90,0.7096
ADANIENSOL,Con,PAT CAGR < 0,Negative profit growth (degrowth) over a 3-year period.,98,0.2023
ADANIENT,Pro,PAT CAGR > 15%,Robust profitability growth demonstrating strong earnings momentum over 3 years.,90,0.8555
ADANIGREEN,Pro,Rev CAGR > 15%,Strong top-line growth with a 3-year Revenue CAGR of 28.07%.,90,0.7096
ADANIGREEN,Pro,PAT CAGR > 15%,Robust profitability growth demonstrating strong earnings momentum over 3 years.,90,0.8555
ADANIPORTS,Pro,PAT CAGR > 15%,Robust profitability growth demonstrating strong earnings momentum over 3 years.,90,0.8555
ADANIPOWER,Pro,Rev CAGR > 15%,Strong top-line growth with a 3-year Revenue CAGR of 25.4%.,90,0.7096
ADANIPOWER,Pro,PAT CAGR > 15%,Robust profitability growth demonstrating strong earnings momentum over 3 years.,90,0.8555
AMBUJACEM,Con,Rev CAGR < 5%,Sluggish top-line revenue growth over the past 3 years.,85,-0.0258
ATGL,Pro,Rev CAGR > 15%,Strong top-line growth with a 3-year Revenue CAGR of 16.68%.,90,0.7096
AXISBANK,Pro,Rev CAGR > 15%,Strong top-line growth with a 3-year Revenue CAGR of 21.44%.,90,0.7096
AXISBANK,Pro,PAT CAGR > 15%,Robust profitability growth demonstrating strong earnings momentum over 3 years.,90,0.8555
BAJAJFINSV,Pro,Rev CAGR > 15%,Strong top-line growth with a 3-year Revenue CAGR of 22.67%.,90,0.7096
BAJAJFINSV,Pro,PAT CAGR > 15%,Robust profitability growth demonstrating strong earnings momentum over 3 years.,90,0.8555
BAJAJHLDNG,Pro,Rev CAGR > 15%,Strong top-line growth with a 3-year Revenue CAGR of 52.99%.,90,0.7096
